url,label
http://micros0ft.com.top/secure-login,phish
http://service58.verify.cc/?id=845201,phish
http://181.28.17.91/~verify/index.html&sess=79C12E0A246F2D5C6551,phish
https://amazon.login.example.cc/signin.php?user=493,phish
https://studyonline.co/products/item527,legit
https://facebook.account.hosted.biz/signin.php?user=963&sess=DA0F741531D2F9663C69,phish
http://applle.com.online/secure-login,phish
https://secure-portal.online/auth.php?token=7so8w5038hvqrhofu1wsgy7vcneas6y3vg6v5t1d&redirect=http%3A%2F%2Flogin.com,phish
https://google.secure.web.info/signin.php?user=314,phish
https://doccenter54.net,legit
http://webmail.verify.club/?id=366431&sess=4A48C389672AE7E68B3A,phish
https://marketplace.co/products/item913,legit
https://apple.account.hosted.cc/signin.php?user=543,phish
https://paypal.verify.hosted.top/signin.php?user=694&sess=425372494E15656F5F4C,phish
https://google.account.example.biz/signin.php?user=865,phish
https://secure-verify.xyz/auth.php?token=lznkq5a36e1jqqxf2a8jc3mzwty257wuqq4tndnq&redirect=http%3A%2F%2Fmalicious.com,phish
https://techworld.net/blog/26,legit
http://webmailsignin.info/?id=289776,phish
https://account-426.biz/auth.php?token=8lxsol15m9gqjanqs334kccnjdgjkcsw7a23hotp&redirect=http%3A%2F%2Flogin.com,phish
https://travelguide.edu/about,legit
http://g00gle.com.online/secure-login&sess=052F564C14ADE3BD564C,phish
https://mediapoint.org,legit
https://doccenter.com/products/item172,legit
http://amaz0n.com.biz/secure-login,phish
https://studyonline.co/products/item876,legit
https://studyonline.edu/,legit
https://doccenter90.net/about,legit
http://237.115.216.140/~admin/index.html,phish
http://login6.signin.cc/?id=492074,phish
https://apple.login.web.online/signin.php?user=207,phish
https://cityportal.org/blog/292,legit
https://homegoods90.org/products/item586,legit
http://update-account.online/?id=756326,phish
https://schoolportal.net/,legit
https://artgallery.io/contact,legit
https://community23.org/search?q=product,legit
https://account-957.info/auth.php?token=jqenbd0v0njj63xvfiud99xro37u9ssbu7ge3ai6&redirect=http%3A%2F%2Fmalicious.com,phish
https://google.login.hosted.club/signin.php?user=130&sess=F0EBF6FDCBDA8DD8DB3A,phish
https://paypal.login.web.online/signin.php?user=964,phish
https://techworld.gov/contact,legit
https://learnhub.edu/about,legit
https://travelguide.gov/blog/7,legit
https://bestshop38.edu/user/profile/3875,legit
http://account-secure-login.biz/?id=425235,phish
https://studyonline91.org/blog/251,legit
https://foodcorner54.org/user/profile/6364,legit
http://120.241.25.47/~admin/index.html,phish
http://secure.secure-login.top/?id=533130,phish
https://openlibrary8.net,legit
https://secure-bank.top/auth.php?token=1sd44wl8mdzfwqvalbna0236qk3qhad3m6jr8fl9&redirect=http%3A%2F%2Flogin.com,phish
http://micros0ft.com.biz/secure-login,phish
http://241.38.83.38/~admin/index.html,phish
https://bestshop.edu/user/profile/3126,legit
https://paypal.secure.web.xyz/signin.php?user=831&sess=2CB1C4D0E0C6B17CF0F7,phish
https://datasource.edu/blog/41,legit
https://greenmarket.gov/about,legit
http://banking-securesecure-login.biz/?id=328909,phish
https://techworld.io/products,legit
https://foodcorner.org,legit
https://secure-update.biz/auth.php?token=7g8yfh3xdvq8pkd2krcnebcxiijcdgghohs5ok6b&redirect=http%3A%2F%2Flogin.com,phish
https://marketplace95.gov/about,legit
https://cityportal.net/about,legit
https://secure-portal.biz/auth.php?token=kr3kvr0i2fkxwexkg6xb1r8vnrpjy93n0ajufqym&redirect=http%3A%2F%2Fmalicious.com,phish
https://artgallery.io/products,legit
https://account-775.site/auth.php?token=j4kii1nq0ei05nms6xvqpu3et1ovejklcp9uw165&redirect=http%3A%2F%2Fmalicious.com&sess=285CA059C788F025B883,phish
http://93.115.159.86/~admin/index.html,phish
http://webmail.signin.xyz/?id=305803,phish
http://secure-secure.account.online/?id=297991,phish
https://studyonline.gov/about,legit
https://account-377.info/auth.php?token=tmfek2o7fhs32uy84zz2p6eeamyfp9s8gk0eeyyl&redirect=http%3A%2F%2Fmalicious.com,phish
https://mediapoint.gov/user/profile/9595,legit
https://mediapoint56.org/about,legit
http://50.156.8.138/~login/index.html,phish
http://200.164.224.82/~verify/index.html,phish
https://researchlab.gov/,legit
https://marketplace39.edu/search?q=product,legit
http://webmail48verify.xyz/?id=357284,phish
https://researchlab8.gov/user/profile/1821,legit
http://service.secure-login.biz/?id=983981,phish
https://studyonline.gov/search?q=product,legit
https://secure-verify.online/auth.php?token=8waceqrq6b0ji1t3uzzzulyzlgjvbvxvr62tricq&redirect=http%3A%2F%2Fphish.com,phish
https://studyonline42.io/about,legit
https://cityportal66.edu/blog/164,legit
https://streamline49.gov/products/item767,legit
https://marketplace.org/user/profile/8454,legit
https://wallet.account.web.biz/signin.php?user=679&sess=32B43621B36F75658DBD,phish
https://wallet.verify.example.biz/signin.php?user=622,phish
http://payment-secure.secure-login.club/?id=638640,phish
http://secure-secure.secure-login.club/?id=510771&sess=4A964CAD8419FE156744,phish
https://openlibrary49.io/products,legit
https://marketplace11.com/,legit
https://community26.gov/,legit
http://paypa1.com.biz/secure-login,phish
https://foodcorner43.co/products/item131,legit
https://account-907.top/auth.php?token=f3g1puxjcn0cl5nkdi2qg6tuq54x1i5482q78e5s&redirect=http%3A%2F%2Fmalicious.com,phish
https://studyonline65.co,legit
